CD1,CD2,SP1,SP2,wext
0.0,259.0,0,334.5,2.5280926720116152
259.0,359.0,0.0,172.0,-2.023763451343181
259.0,359.0,172.0,334.5,1.4050225916292192
0.0,257.0,334.5,1000,-1.8700369458985207
257.0,329.0,334.5,1000,-5.388401253264765
329.0,359.0,334.5,1000,-2.667584943810918
359.0,425.0,0.0,259.5,-4.315094058499198
359.0,425.0,259.5,313.0,-2.525070473947702
359.0,383.0,313.0,1000,-4.770376139513993
383.0,425.0,313.0,1000,-7.548058527428891
425.0,489.0,0,310.5,-6.8200275078593835
425.0,447.0,310.5,483.0,-8.644416342573086
447.0,489.0,310.5,483.0,-10.052288522573342
425.0,489.0,483.0,1000.0,-11.450414801739377
489.0,1000.0,0.0,208.5,-10.061011165339306
489.0,1000.0,208.5,302.0,-8.968618854973817
489.0,517.0,302.0,439.5,-12.389355373318542
517.0,545.0,302.0,439.5,-10.998069309027816
489.0,519.0,439.5,1000.0,-13.323704092763204
519.0,545.0,439.5,1000.0,-24.271597281271905
545.0,1000.0,302.0,433.5,-13.362129515521634
545.0,1000.0,433.5,471.5,-9.640227992349885
545.0,1000.0,471.5,1000.0,-12.395612077198281
