,Cmd,Ct_err,Cc_err,CD,SP
"('M0M1_0.012_0.012_ABA', (0, 0, 0, 0, 0, False))",,0.401675844,0.190261007,132,117
"('M0M1_0.012_0.012_ABA', (10, 0, 0, 0, 0, False))",,8.066852689,3.910166185,132,117
"('M0M1_0.012_0.012_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,0.268697924,0.189485448,132,117
"('M0M1_0.012_0.012_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,7.612286151,3.407615573,132,117
"('M0M1_0.012_0.012_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,0.268697924,0.189485448,132,117
"('M0M1_0.012_0.012_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,7.612286151,3.407615573,132,117
"('M0M1_0.012_0.012_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,0.268697924,0.189485448,132,117
"('M0M1_0.012_0.012_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,7.612286151,3.407615573,132,117
"('M0M1_0.012_0.012_BAB', (0, 0, 0, 0, 0, False))",,0.957883342,0.580352273,114,117
"('M0M1_0.012_0.012_BAB', (10, 0, 0, 0, 0, False))",,9.488625398,3.863001284,114,117
"('M0M1_0.012_0.012_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,0.389898651,0.364770919,114,117
"('M0M1_0.012_0.012_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,7.176899238,3.372979312,114,117
"('M0M1_0.012_0.012_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,0.389898651,0.364770919,114,117
"('M0M1_0.012_0.012_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,7.176899238,3.372979312,114,117
"('M0M1_0.012_0.012_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,0.389898651,0.364770919,114,117
"('M0M1_0.012_0.012_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,7.176899238,3.372979312,114,117
"('M0M1_0.012_0.014_ABA', (0, 0, 0, 0, 0, False))",,1.770401335,0.809526957,156,121
"('M0M1_0.012_0.014_ABA', (10, 0, 0, 0, 0, False))",,8.363762537,4.072005684,156,121
"('M0M1_0.012_0.014_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,0.969246105,0.344364532,156,121
"('M0M1_0.012_0.014_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,8.05384609,3.579578689,156,121
"('M0M1_0.012_0.014_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,0.969246105,0.344364532,156,121
"('M0M1_0.012_0.014_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,8.05384609,3.579578689,156,121
"('M0M1_0.012_0.014_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,0.969246105,0.344364532,156,121
"('M0M1_0.012_0.014_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,8.05384609,3.579578689,156,121
"('M0M1_0.012_0.014_BAB', (0, 0, 0, 0, 0, False))",,1.621248559,0.800679021,122,121
"('M0M1_0.012_0.014_BAB', (10, 0, 0, 0, 0, False))",,9.581313203,4.301752852,122,121
"('M0M1_0.012_0.014_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,1.243096284,0.627532787,122,121
