CD1,CD2,SP1,SP2,wext
0.0,359.0,0.0,125.0,-4.738047953782854
0.0,260.0,125.0,224.0,5.110972969698491
260.0,305.0,125.0,224.0,2.740231589505737
0.0,305.0,224.0,334.5,1.4037981694167485
305.0,359.0,125.0,175.5,-3.7648234441744757
305.0,359.0,175.5,282.5,2.6728977324270224
305.0,359.0,282.5,334.5,0.041581970247154154
0.0,257.0,334.5,416.0,-1.3249233104912626
0.0,257.0,416.0,479.0,-0.5786981966181725
0.0,257.0,479.0,1000.0,-3.7610006941268552
257.0,281.0,334.5,1000,-4.2401094099659
281.0,327.0,334.5,1000,-6.913856868386265
327.0,335.0,334.5,1000,-5.090116062566234
335.0,359.0,334.5,1000,-1.0418604937999556
359.0,367.0,0,472.5,-4.7270644376361455
367.0,397.0,0.0,395.0,-1.4550026577973476
367.0,397.0,395.0,472.5,-3.008780865753251
397.0,410.0,0.0,313.0,-2.807341927796451
410.0,425.0,0.0,313.0,-5.431124607961797
397.0,425.0,313.0,472.5,-7.163188648866617
359.0,425.0,472.5,1000,-7.918501390451214
425.0,453.0,0,310.5,-6.181526925502919
453.0,489.0,0.0,207.5,-7.095651512751965
453.0,489.0,207.5,310.5,-7.6661421507191765
425.0,435.0,310.5,1000,-7.834668944431492
435.0,452.0,310.5,442.5,-12.008810987126163
452.0,489.0,310.5,379.0,-9.498797705881117
452.0,489.0,379.0,442.5,-9.527515946518829
435.0,489.0,442.5,483.0,-7.754269674615307
435.0,489.0,483.0,519.0,-12.088662382017691
435.0,489.0,519.0,1000.0,-11.403472612388684
489.0,1000.0,0.0,138.0,-11.398261899400723
489.0,1000.0,138.0,263.5,-7.640271087109456
489.0,1000.0,263.5,302.0,-10.23682749323883
489.0,499.0,302.0,439.5,-13.158096551866237
499.0,545.0,302.0,323.5,-12.397351886303374
499.0,545.0,323.5,339.0,-11.814527008034453
499.0,545.0,339.0,439.5,-10.608657689340967
489.0,545.0,439.5,450.5,-28.24656163560807
489.0,545.0,450.5,522.0,-16.419916875515767
489.0,545.0,522.0,1000.0,-12.580947841378178
545.0,559.0,302.0,433.5,-13.026513417440702
559.0,569.0,302.0,433.5,-11.094186582721939
569.0,1000.0,302.0,433.5,-14.73242374230091
545.0,1000.0,433.5,453.5,-10.774652002783519
545.0,1000.0,453.5,471.5,-7.680768337964519
545.0,1000.0,471.5,559.0,-12.864448988388185
545.0,1000.0,559.0,1000.0,-11.833007783770395
